year,session,paper,doc_type,language,document_id,source_url,local_path,collection_status,verified,notes
2016,Nov,P1,memo,Eng,2016_nov_p1_memo_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=BREWbevmj5A%3d&tabid=1508&portalid=0&mid=6179,data/raw/memos/2016_nov_p1_memo_maths.pdf,owned,yes,NSC Nov 2016 P1 memo
2016,Nov,P2,memo,Eng,2016_nov_p2_memo_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=ZcumaObYY0U%3d&tabid=1508&portalid=0&mid=6179,data/raw/memos/2016_nov_p2_memo_maths.pdf,owned,yes,NSC Nov 2016 P2 memo
2016,—,—,diagnostic,Eng,2016_maths_diagnostic_part1,https://www.education.gov.za/LinkClick.aspx?fileticket=dS08Lo3nuiU%3d&tabid=92&portalid=0&mid=4359,data/raw/diagnostic_reports/2016_maths_diagnostic_part1.pdf,owned,yes,NSC 2016 Diagnostic Report
2015,Nov,P1,exam,Eng,2015_nov_p1_exam_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=Ff8Magmt-Aw%3d&tabid=979&portalid=0&mid=4289,data/raw/exams/2015_nov_p1_exam_maths.pdf,owned,yes,NSC Nov 2015 P1 exam
2015,Nov,P2,exam,Eng,2015_nov_p2_exam_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=zSHGn8qtNQA%3d&tabid=979&portalid=0&mid=4289,data/raw/exams/2015_nov_p2_exam_maths.pdf,owned,yes,NSC Nov 2015 P2 exam
2015,Nov,P1,memo,Eng,2015_nov_p1_memo_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=npZjEEJ1rRE%3d&tabid=979&portalid=0&mid=4289,data/raw/memos/2015_nov_p1_memo_maths.pdf,owned,yes,NSC Nov 2015 P1 memo
2015,Nov,P2,memo,Eng,2015_nov_p2_memo_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=bRzKGUA745Q%3d&tabid=979&portalid=0&mid=4289,data/raw/memos/2015_nov_p2_memo_maths.pdf,owned,yes,NSC Nov 2015 P2 memo
2015,—,—,diagnostic,Eng,2015_maths_diagnostic_part1,https://www.education.gov.za/LinkClick.aspx?fileticket=IwlSo5eiHzA%3d&tabid=92&portalid=0&mid=4359,data/raw/diagnostic_reports/2015_maths_diagnostic_part1.pdf,owned,yes,NSC 2015 Diagnostic Report
2014,Nov,P1,exam,Eng,2014_nov_p1_exam_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=hiapoaCUjZM%3d&tabid=568&portalid=0&mid=1527,data/raw/exams/2014_nov_p1_exam_maths.pdf,owned,yes,NSC Nov 2014 P1 exam (amended)
2014,Nov,P2,exam,Eng,2014_nov_p2_exam_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=lUWxb7RJ8qY%3d&tabid=568&portalid=0&mid=1527,data/raw/exams/2014_nov_p2_exam_maths.pdf,owned,yes,NSC Nov 2014 P2 exam (amended)
2014,Nov,P1,memo,Eng,2014_nov_p1_memo_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=_XS29vTWY-I%3d&tabid=568&portalid=0&mid=1527,data/raw/memos/2014_nov_p1_memo_maths.pdf,owned,yes,NSC Nov 2014 P1 memo
2014,Nov,P2,memo,Eng,2014_nov_p2_memo_maths,https://www.education.gov.za/LinkClick.aspx?fileticket=KNmGWZqhp04%3d&tabid=568&portalid=0&mid=1527,data/raw/memos/2014_nov_p2_memo_maths.pdf,owned,yes,NSC Nov 2014 P2 memo
2014,—,—,diagnostic,Eng,2014_maths_diagnostic_part1,https://www.education.gov.za/LinkClick.aspx?fileticket=hZL6MoEQvtQ%3d&tabid=92&portalid=0&mid=4359,data/raw/diagnostic_reports/2014_maths_diagnostic_part1.pdf,owned,yes,NSC 2014 Diagnostic Report
